year,temperature
2020.0,1.2083551842122768
2025.0,1.326709066936649
2030.0,1.453901110669309
2035.0,1.5888113388174376
2040.0,1.7303813239314547
2045.0,1.8776281942807453
2050.0,2.0296526343082255
2055.0,2.185642022300614
2060.0,2.3448698531078653
2065.0,2.506692493496547
2070.0,2.670544162455823
2075.0,2.835930855299229
2080.0,3.002423762707141
2085.0,3.1696525873348174
2090.0,3.337299036978203
2095.0,3.505090675265967
2100.0,3.6727952363102534
2105.0,3.8214564917608618
2110.0,3.953134659694609
2115.0,4.069396507036941
2120.0,4.171433620281692
2125.0,4.260143862775736
2130.0,4.336188147615015
2135.0,4.400030056211025
2140.0,4.451963065793498
2145.0,4.492128412849166
2150.0,4.520525475382357
2155.0,4.548334654496732
2160.0,4.575568120708652
2165.0,4.6022377925772595
2170.0,4.628355341920572
2175.0,4.653932198923574
2180.0,4.678979557140568
2185.0,4.70350837839397
2190.0,4.727529397571678
2195.0,4.751053127325132
2200.0,4.774089862670112
