baseline,,mitigation,,CDR,,SG,
X,Y,X,Y,X,Y,X,Y
2044.3192937637912,4.05004488519013,2139.4892856204688,6.081128696722774,2108.2341960439217,5.707481207537723,2022.1949045129768,1.9143930597500827
2048.1822823631396,4.261845066225506,2143.3522742198174,6.068140949772491,2112.09718464327,5.712476494826293,2026.0578931123255,2.017962016199771
2052.0452709624883,4.477641477091739,2147.2152628191657,6.058150375195351,2115.9601732426186,5.697490632960583,2029.920881711674,2.1598281751951642
2055.908259561837,4.684446370838546,2151.0782514185144,6.040167340956498,2119.8231618419672,5.659526449567449,2033.7838703110224,2.295699989444275
2059.771248161185,4.884257862381353,2154.941240017863,6.022184306717646,2123.6861504413155,5.594587714816036,2037.646858910371,2.4305727462356685
2063.634236760534,5.0920618135858735,2158.8042286172113,6.009196559767363,2127.549139040664,5.495681026502346,2041.5098475097195,2.5584521008230663
2067.4972253598826,5.294870477501824,2162.66721721656,6.002203157563365,2131.412127640013,5.381788476322945,2045.372836109068,2.683334283037322
2071.360213959231,5.493682911586919,2166.5302058159086,5.991213525528511,2135.275116239361,5.263899696312688,2049.2358247084167,2.8052192928784354
2075.2232025585795,5.692495345672012,2170.393194415257,5.9772267211205135,2139.1381048387098,5.139017514098434,2053.0988133077653,2.9201109005155494
2079.086191157928,5.887311549926251,2174.2561830146055,5.9762276636628,2143.0010934380584,5.00214664239161,2056.9618019071136,3.031006278321808
2082.9491797572764,6.07513435197649,2178.119171613954,5.970233318916516,2146.8640820374067,4.863277655769359,2060.8247905064623,3.135907311381782
2086.812168356625,6.262957154026729,2181.9821602133024,5.962240859254804,2150.7270706367553,4.7254077266048204,2064.687779105811,3.236812114610901
2090.6751569559738,6.447782783703827,2185.845148812651,5.954248399593091,2154.590059236104,4.582542510151712,2068.550767705159,3.3317225730937334
2094.538145555322,6.6276131260923545,2189.708137412,5.954248399593091,2158.4530478354523,4.4366801213254625,2072.413756304508,3.4236358592034257
2098.4011341546707,6.803447238650025,2193.571126011348,5.954248399593091,2162.316036434801,4.292815847414642,2076.2767449038565,3.5085557431091194
2102.2641227540194,6.9652945467997,2197.4341146106967,5.953249342135377,2166.1790250341496,4.145954401130678,2080.1397335032048,3.587481282268528
2106.1271113533676,7.11115693562595,2201.2971032100454,5.943258767558237,2170.042013633498,4.000092012304426,2084.0027221025534,3.662410591597082
2109.9900999527163,7.25202403716363,2205.1600918093936,5.938263480269667,2173.9050022328465,3.8542296234781768,2087.865710701902,3.7303464987216364
2113.853088552065,7.388894908870453,2209.0230804087423,5.932269135523382,2177.767990832195,3.7003747749902143,2091.7286993012503,3.793287118557621
2117.716077151413,7.523767665661849,2212.886069008091,5.932269135523382,2181.630979431544,3.544521811586825,2095.591687900599,3.8462371638164647
2121.579065750762,7.655643250080102,2216.7490576074397,5.932269135523382,2185.493968030892,3.3876697907257203,2099.4546764999477,3.892193806871311
2125.4420543501105,7.7835226046675,2220.612046206788,5.932269135523382,2189.356956630241,3.223824367660617,2103.317665099296,3.9171702433141613
2129.3050429494588,7.906406671966327,2224.4750348061366,5.932269135523382,2193.2199452295895,3.059978944595514,2107.1806536986446,3.932156105179873
2133.1680315488074,8.024295451976585,2228.338023405485,5.932269135523382,2197.0829338289377,2.8911382342418417,2111.0436422979933,3.932156105179873
2137.031020148156,8.146180461817696,2232.2010120048335,5.92427667586167,2200.9459224282864,2.713306006768743,2114.9066308973415,3.91417307094102
2140.894008747505,8.259073954539383,2236.064000604182,5.9212795034885275,2204.808911027635,2.531477549464787,2118.76961949669,3.8861994621250275
